Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Sun, Mar 21, 2021;2:00p;Oklahoma City Thunder;114;Houston Rockets;112;Box Score;;3,297;
Sun, Mar 21, 2021;3:00p;New Orleans Pelicans;113;Denver Nuggets;108;Box Score;;0;
Sun, Mar 21, 2021;3:30p;Orlando Magic;96;Boston Celtics;112;Box Score;;0;
Sun, Mar 21, 2021;7:00p;Washington Wizards;106;Brooklyn Nets;113;Box Score;;1,773;
Sun, Mar 21, 2021;7:00p;Toronto Raptors;105;Cleveland Cavaliers;116;Box Score;;0;
Sun, Mar 21, 2021;7:00p;Chicago Bulls;100;Detroit Pistons;86;Box Score;;750;
Sun, Mar 21, 2021;8:00p;Philadelphia 76ers;101;New York Knicks;100;Box Score;OT;1,981;
Sun, Mar 21, 2021;10:00p;Los Angeles Lakers;94;Phoenix Suns;111;Box Score;;3,19;
Sun, Mar 21, 2021;10:00p;Dallas Mavericks;132;Portland Trail Blazers;92;Box Score;;0;
Mon, Mar 22, 2021;7:30p;Sacramento Kings;119;Cleveland Cavaliers;105;Box Score;;4,1;
Mon, Mar 22, 2021;8:00p;Oklahoma City Thunder;112;Minnesota Timberwolves;103;Box Score;;0;
Mon, Mar 22, 2021;8:30p;Charlotte Hornets;100;San Antonio Spurs;97;Box Score;;3,222;
Mon, Mar 22, 2021;9:00p;Utah Jazz;120;Chicago Bulls;95;Box Score;;0;
Mon, Mar 22, 2021;9:00p;Toronto Raptors;99;Houston Rockets;117;Box Score;;2,965;
Mon, Mar 22, 2021;9:00p;Boston Celtics;126;Memphis Grizzlies;132;Box Score;OT;2,319;
Mon, Mar 22, 2021;9:00p;Indiana Pacers;113;Milwaukee Bucks;140;Box Score;;3,28;
Mon, Mar 22, 2021;10:00p;Atlanta Hawks;110;Los Angeles Clippers;119;Box Score;;0;
Tue, Mar 23, 2021;7:00p;Denver Nuggets;110;Orlando Magic;99;Box Score;;3,485;
Tue, Mar 23, 2021;7:30p;Los Angeles Lakers;111;New Orleans Pelicans;128;Box Score;;3,7;
Tue, Mar 23, 2021;7:30p;Washington Wizards;113;New York Knicks;131;Box Score;;1,589;
Tue, Mar 23, 2021;8:00p;Phoenix Suns;110;Miami Heat;100;Box Score;;0;
Tue, Mar 23, 2021;10:00p;Philadelphia 76ers;108;Golden State Warriors;98;Box Score;;0;
Tue, Mar 23, 2021;10:00p;Brooklyn Nets;116;Portland Trail Blazers;112;Box Score;;;
Wed, Mar 24, 2021;7:00p;Detroit Pistons;111;Indiana Pacers;116;Box Score;;0;
Wed, Mar 24, 2021;7:30p;Boston Celtics;119;Milwaukee Bucks;121;Box Score;;3,28;
Wed, Mar 24, 2021;7:30p;Denver Nuggets;111;Toronto Raptors;135;Box Score;;1,578;
