Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS.1;;;Attend.;Notes
Thu, Feb 25, 2021;8:00p;Los Angeles Clippers;94;Memphis Grizzlies;122;Box Score;;1,896;
Thu, Feb 25, 2021;9:00p;Washington Wizards;112;Denver Nuggets;110;Box Score;;0;
Thu, Feb 25, 2021;9:30p;New Orleans Pelicans;125;Milwaukee Bucks;129;Box Score;;1,8;
Fri, Feb 26, 2021;7:30p;Indiana Pacers;112;Boston Celtics;118;Box Score;;0;
Fri, Feb 26, 2021;7:30p;Houston Rockets;111;Toronto Raptors;122;Box Score;;0;
Fri, Feb 26, 2021;8:00p;Phoenix Suns;106;Chicago Bulls;97;Box Score;;0;
Fri, Feb 26, 2021;8:00p;Sacramento Kings;110;Detroit Pistons;107;Box Score;;0;
Fri, Feb 26, 2021;8:00p;Los Angeles Clippers;119;Memphis Grizzlies;99;Box Score;;2,039;
Fri, Feb 26, 2021;8:00p;Utah Jazz;116;Miami Heat;124;Box Score;;0;
Fri, Feb 26, 2021;8:00p;Atlanta Hawks;109;Oklahoma City Thunder;118;Box Score;;0;
Fri, Feb 26, 2021;10:00p;Charlotte Hornets;121;Golden State Warriors;130;Box Score;;0;
Fri, Feb 26, 2021;10:00p;Portland Trail Blazers;93;Los Angeles Lakers;102;Box Score;;0;
Sat, Feb 27, 2021;7:00p;Cleveland Cavaliers;112;Philadelphia 76ers;109;Box Score;OT;0;
Sat, Feb 27, 2021;7:00p;Minnesota Timberwolves;112;Washington Wizards;128;Box Score;;0;
Sat, Feb 27, 2021;8:00p;Indiana Pacers;107;New York Knicks;110;Box Score;;1,981;
Sat, Feb 27, 2021;8:00p;Denver Nuggets;126;Oklahoma City Thunder;96;Box Score;;0;
Sat, Feb 27, 2021;8:00p;Utah Jazz;124;Orlando Magic;109;Box Score;;4,242;
Sat, Feb 27, 2021;8:00p;New Orleans Pelicans;114;San Antonio Spurs;117;Box Score;;0;
Sat, Feb 27, 2021;8:30p;Dallas Mavericks;115;Brooklyn Nets;98;Box Score;;684;
Sun, Feb 28, 2021;3:30p;Los Angeles Clippers;100;Milwaukee Bucks;105;Box Score;;1,8;
Sun, Feb 28, 2021;7:00p;Washington Wizards;110;Boston Celtics;111;Box Score;;0;
Sun, Feb 28, 2021;8:00p;New York Knicks;109;Detroit Pistons;90;Box Score;;0;
Sun, Feb 28, 2021;8:00p;Memphis Grizzlies;133;Houston Rockets;84;Box Score;;3,284;
Sun, Feb 28, 2021;8:00p;Golden State Warriors;91;Los Angeles Lakers;117;Box Score;;0;
Sun, Feb 28, 2021;8:00p;Atlanta Hawks;99;Miami Heat;109;Box Score;;0;
Sun, Feb 28, 2021;9:00p;Phoenix Suns;118;Minnesota Timberwolves;99;Box Score;;0;
Sun, Feb 28, 2021;10:00p;Charlotte Hornets;127;Sacramento Kings;126;Box Score;;0;
