Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Sun, Apr 11, 2021;8:00p;Chicago Bulls;117;Minnesota Timberwolves;121;Box Score;;1,436;
Sun, Apr 11, 2021;8:00p;Toronto Raptors;96;New York Knicks;102;Box Score;;1,833;
Sun, Apr 11, 2021;10:00p;Detroit Pistons;124;Los Angeles Clippers;131;Box Score;;0;
Sun, Apr 11, 2021;10:00p;Miami Heat;107;Portland Trail Blazers;98;Box Score;;0;
Mon, Apr 12, 2021;7:30p;Philadelphia 76ers;113;Dallas Mavericks;95;Box Score;;4,016;
Mon, Apr 12, 2021;7:30p;Los Angeles Lakers;96;New York Knicks;111;Box Score;;1,981;
Mon, Apr 12, 2021;8:00p;San Antonio Spurs;120;Orlando Magic;97;Box Score;;3,107;
Mon, Apr 12, 2021;9:00p;Chicago Bulls;90;Memphis Grizzlies;101;Box Score;;2,194;
Mon, Apr 12, 2021;9:00p;Sacramento Kings;110;New Orleans Pelicans;117;Box Score;;3,7;
Mon, Apr 12, 2021;9:00p;Washington Wizards;125;Utah Jazz;121;Box Score;;5,546;
Mon, Apr 12, 2021;10:00p;Denver Nuggets;107;Golden State Warriors;116;Box Score;;0;
Mon, Apr 12, 2021;10:00p;Houston Rockets;120;Phoenix Suns;126;Box Score;;4,145;
Tue, Apr 13, 2021;4:00p;Brooklyn Nets;127;Minnesota Timberwolves;97;Box Score;;0;
Tue, Apr 13, 2021;7:30p;Los Angeles Clippers;126;Indiana Pacers;115;Box Score;;0;
Tue, Apr 13, 2021;7:30p;Atlanta Hawks;108;Toronto Raptors;103;Box Score;;1,427;
Tue, Apr 13, 2021;8:00p;Los Angeles Lakers;101;Charlotte Hornets;93;Box Score;;3,676;
Tue, Apr 13, 2021;9:00p;Oklahoma City Thunder;96;Utah Jazz;106;Box Score;;5,546;
Tue, Apr 13, 2021;10:00p;Miami Heat;86;Phoenix Suns;106;Box Score;;5,024;
Tue, Apr 13, 2021;10:00p;Boston Celtics;116;Portland Trail Blazers;115;Box Score;;0;
Wed, Apr 14, 2021;4:30p;Milwaukee Bucks;130;Minnesota Timberwolves;105;Box Score;;0;
Wed, Apr 14, 2021;7:00p;Cleveland Cavaliers;103;Charlotte Hornets;90;Box Score;;2,955;
Wed, Apr 14, 2021;7:00p;Brooklyn Nets;117;Philadelphia 76ers;123;Box Score;;4,094;
Wed, Apr 14, 2021;7:30p;San Antonio Spurs;112;Toronto Raptors;117;Box Score;;1,184;
Wed, Apr 14, 2021;8:00p;Orlando Magic;115;Chicago Bulls;106;Box Score;;0;
Wed, Apr 14, 2021;8:00p;Los Angeles Clippers;100;Detroit Pistons;98;Box Score;;750;
Wed, Apr 14, 2021;8:00p;New York Knicks;116;New Orleans Pelicans;106;Box Score;;3,7;
Wed, Apr 14, 2021;9:00p;Indiana Pacers;132;Houston Rockets;124;Box Score;;3,293;
Wed, Apr 14, 2021;9:00p;Golden State Warriors;147;Oklahoma City Thunder;109;Box Score;;0;
Wed, Apr 14, 2021;9:30p;Dallas Mavericks;114;Memphis Grizzlies;113;Box Score;;2,141;
Wed, Apr 14, 2021;10:00p;Miami Heat;106;Denver Nuggets;123;Box Score;;4,017;
Wed, Apr 14, 2021;10:00p;Washington Wizards;123;Sacramento Kings;111;Box Score;;0;
Thu, Apr 15, 2021;7:30p;Milwaukee Bucks;120;Atlanta Hawks;109;Box Score;;0;
Thu, Apr 15, 2021;8:00p;Golden State Warriors;119;Cleveland Cavaliers;101;Box Score;;4,148;
Thu, Apr 15, 2021;10:00p;Boston Celtics;121;Los Angeles Lakers;113;Box Score;;1,915;
Thu, Apr 15, 2021;10:00p;Sacramento Kings;114;Phoenix Suns;122;Box Score;;4,568;
Fri, Apr 16, 2021;3:00p;Indiana Pacers;111;Utah Jazz;119;Box Score;;5,546;
Fri, Apr 16, 2021;7:00p;Oklahoma City Thunder;104;Detroit Pistons;110;Box Score;;750;
Fri, Apr 16, 2021;7:00p;Los Angeles Clippers;103;Philadelphia 76ers;106;Box Score;;4,094;
Fri, Apr 16, 2021;7:00p;New Orleans Pelicans;115;Washington Wizards;117;Box Score;OT;0;
